BUKRS,KOSTL,KSTAR,DMBTR,WAERS,BUDAT
1000,CC1001,430000,125000.0,EUR,20260301
1000,CC1001,490000,8500.0,EUR,20260315
1000,CC1001,470000,12000.0,EUR,20260328
1000,CC1002,430000,87500.0,EUR,20260301
1000,CC1002,490000,4200.0,EUR,20260318
1000,CC1003,470000,145000.0,EUR,20260301
1000,CC1003,440000,22000.0,EUR,20260301
1000,CC2001,430000,195000.0,EUR,20260301
1000,CC2001,490000,15000.0,EUR,20260320
1000,CC2002,430000,62000.0,EUR,20260301
1000,CC2002,490000,3500.0,EUR,20260322
1000,CC9999,430000,5000.0,EUR,20260301
